iter	Passed	Remaining
0	57	57499
1	57	28835
2	58	19283
3	58	14502
4	58	11630
5	58	9720
6	58	8358
7	59	7335
8	59	6536
9	59	5898
10	59	5377
11	60	4946
12	60	4579
13	60	4263
14	60	3996
15	61	3757
16	61	3546
17	61	3361
18	61	3193
19	62	3040
20	62	2903
21	62	2777
22	62	2663
23	62	2558
24	63	2461
25	63	2372
26	63	2289
27	63	2213
28	63	2141
29	64	2074
30	64	2011
31	64	1952
32	64	1897
33	64	1845
34	65	1796
35	65	1751
36	65	1708
37	65	1667
38	66	1628
39	66	1590
40	66	1555
41	66	1521
42	66	1489
43	67	1458
44	67	1429
45	67	1401
46	67	1374
47	68	1351
48	68	1326
49	68	1302
50	68	1280
51	69	1258
52	69	1237
53	69	1217
54	69	1198
55	70	1180
56	70	1161
57	70	1144
58	70	1127
59	70	1110
60	71	1094
61	71	1078
62	71	1063
63	71	1049
64	71	1035
65	72	1021
66	72	1008
67	72	995
68	72	982
69	73	971
70	73	960
71	73	948
72	73	937
73	74	926
74	74	915
75	74	905
76	74	894
77	74	884
78	75	874
79	75	865
80	75	856
81	75	847
82	75	837
83	75	828
84	76	820
85	76	811
86	76	804
87	76	796
88	77	788
89	77	781
90	77	773
91	77	766
92	77	759
93	78	752
94	78	746
95	78	739
96	78	732
97	78	726
98	79	719
99	79	714
100	79	707
101	79	701
102	79	696
103	80	690
104	80	684
105	80	678
106	80	673
107	80	667
108	81	662
109	81	657
110	81	652
111	81	647
112	81	642
113	82	637
114	82	632
115	82	628
116	82	623
117	82	618
118	82	614
119	83	609
120	83	605
121	83	600
122	83	597
123	84	593
124	84	590
125	84	586
126	84	582
127	84	579
128	85	575
129	85	571
130	85	568
131	85	564
132	86	560
133	86	557
134	86	553
135	86	550
136	86	546
137	87	543
138	87	540
139	87	536
140	87	533
141	87	530
142	87	526
143	88	523
144	88	520
145	88	517
146	88	515
147	89	513
148	89	510
149	89	507
150	89	504
151	90	502
152	90	499
153	90	496
154	90	494
155	90	491
156	91	488
157	91	486
158	91	483
159	91	480
160	91	477
161	91	475
162	92	473
163	92	471
164	92	468
165	92	466
166	93	463
167	93	461
168	93	459
169	93	457
170	93	455
171	94	452
172	94	450
173	94	448
174	94	446
175	94	444
176	95	442
177	95	440
178	95	438
179	95	436
180	95	434
181	96	432
182	96	430
183	96	428
184	96	426
185	96	424
186	97	422
187	97	420
188	97	418
189	97	416
190	97	414
191	98	412
192	98	410
193	98	409
194	98	407
195	98	405
196	99	403
197	99	402
198	99	400
199	99	399
200	100	398
201	100	396
202	100	394
203	100	392
204	100	391
205	101	390
206	101	389
207	101	388
208	102	386
209	102	385
210	102	383
211	102	382
212	103	380
213	103	379
214	103	377
215	103	376
216	103	374
217	104	373
218	104	371
219	104	370
220	104	368
221	104	367
222	104	365
223	105	364
224	105	362
225	105	361
226	105	360
227	105	358
228	106	357
229	106	356
230	106	354
231	106	353
232	106	352
233	107	350
234	107	349
235	107	348
236	107	346
237	107	345
238	108	344
239	108	342
240	108	341
241	108	340
242	108	339
243	109	338
244	109	337
245	109	335
246	109	334
247	109	333
248	110	332
249	110	331
250	110	330
251	110	329
252	111	327
253	111	326
254	111	325
255	111	324
256	111	323
257	112	322
258	112	321
259	112	320
260	112	319
261	112	318
262	113	316
263	113	315
264	113	314
265	113	313
266	113	312
267	114	311
268	114	310
269	114	309
270	114	308
271	114	307
272	115	306
273	115	305
274	115	304
275	115	304
276	116	303
277	116	302
278	116	301
279	116	300
280	117	299
